year,source,metric,value_tonnes
1667,castaneda_2013,production_tonnes,9.26
1667,castaneda_2013,stock_lower,2340.22
1667,castaneda_2013,stock_upper,2606.2
1668,castaneda_2013,production_tonnes,9.26
1668,castaneda_2013,stock_lower,2349.48
1668,castaneda_2013,stock_upper,2615.5
1669,castaneda_2013,production_tonnes,9.26
1669,castaneda_2013,stock_lower,2358.74
1669,castaneda_2013,stock_upper,2624.7
1670,castaneda_2013,production_tonnes,9.26
1670,castaneda_2013,stock_lower,2368
1670,castaneda_2013,stock_upper,2634
1671,castaneda_2013,production_tonnes,9.26
1671,castaneda_2013,stock_lower,2377.26
1671,castaneda_2013,stock_upper,2643.3
1672,castaneda_2013,production_tonnes,9.26
1672,castaneda_2013,stock_lower,2386.52
1672,castaneda_2013,stock_upper,2652.5
1673,castaneda_2013,production_tonnes,9.26
1673,castaneda_2013,stock_lower,2395.78
1673,castaneda_2013,stock_upper,2661.8
1674,castaneda_2013,production_tonnes,9.26
1674,castaneda_2013,stock_lower,2405.04
1674,castaneda_2013,stock_upper,2671
1675,castaneda_2013,production_tonnes,9.26
1675,castaneda_2013,stock_lower,2414.3
1675,castaneda_2013,stock_upper,2680.3
1676,castaneda_2013,production_tonnes,9.26
1676,castaneda_2013,stock_lower,2423.56
1676,castaneda_2013,stock_upper,2689.6
1677,castaneda_2013,production_tonnes,9.26
1677,castaneda_2013,stock_lower,2432.82
1677,castaneda_2013,stock_upper,2698.8
1678,castaneda_2013,production_tonnes,9.26
1678,castaneda_2013,stock_lower,2442.08
1678,castaneda_2013,stock_upper,2708.1
1679,castaneda_2013,production_tonnes,9.26
1679,castaneda_2013,stock_lower,2451.34
1679,castaneda_2013,stock_upper,2717.3
1680,castaneda_2013,production_tonnes,9.26
1680,castaneda_2013,stock_lower,2460.6
1680,castaneda_2013,stock_upper,2726.6
1681,castaneda_2013,production_tonnes,10.76
1681,castaneda_2013,stock_lower,2471.36
1681,castaneda_2013,stock_upper,2737.4
1682,castaneda_2013,production_tonnes,10.76
1682,castaneda_2013,stock_lower,2482.13
1682,castaneda_2013,stock_upper,2748.1
1683,castaneda_2013,production_tonnes,10.76
1683,castaneda_2013,stock_lower,2492.89
1683,castaneda_2013,stock_upper,2758.9
1684,castaneda_2013,production_tonnes,10.76
1684,castaneda_2013,stock_lower,2503.66
1684,castaneda_2013,stock_upper,2769.7
1685,castaneda_2013,production_tonnes,10.76
1685,castaneda_2013,stock_lower,2514.42
1685,castaneda_2013,stock_upper,2780.4
1686,castaneda_2013,production_tonnes,10.76
1686,castaneda_2013,stock_lower,2525.19
1686,castaneda_2013,stock_upper,2791.2
1687,castaneda_2013,production_tonnes,10.76
1687,castaneda_2013,stock_lower,2535.95
1687,castaneda_2013,stock_upper,2802
1688,castaneda_2013,production_tonnes,10.76
1688,castaneda_2013,stock_lower,2546.72
1688,castaneda_2013,stock_upper,2812.7
1689,castaneda_2013,production_tonnes,10.76
1689,castaneda_2013,stock_lower,2557.48
1689,castaneda_2013,stock_upper,2823.5
1690,castaneda_2013,production_tonnes,10.76
1690,castaneda_2013,stock_lower,2568.25
1690,castaneda_2013,stock_upper,2834.2
1691,castaneda_2013,production_tonnes,10.76
1691,castaneda_2013,stock_lower,2579.01
1691,castaneda_2013,stock_upper,2845
1692,castaneda_2013,production_tonnes,10.76
1692,castaneda_2013,stock_lower,2589.78
1692,castaneda_2013,stock_upper,2855.8
1693,castaneda_2013,production_tonnes,10.76
1693,castaneda_2013,stock_lower,2600.54
1693,castaneda_2013,stock_upper,2866.5
1694,castaneda_2013,production_tonnes,10.76
1694,castaneda_2013,stock_lower,2611.31
1694,castaneda_2013,stock_upper,2877.3
1695,castaneda_2013,production_tonnes,10.76
1695,castaneda_2013,stock_lower,2622.07
1695,castaneda_2013,stock_upper,2888.1
1696,castaneda_2013,production_tonnes,10.76
1696,castaneda_2013,stock_lower,2632.84
1696,castaneda_2013,stock_upper,2898.8
1697,castaneda_2013,production_tonnes,10.76
1697,castaneda_2013,stock_lower,2643.6
1697,castaneda_2013,stock_upper,2909.6
1698,castaneda_2013,production_tonnes,10.76
1698,castaneda_2013,stock_lower,2654.37
1698,castaneda_2013,stock_upper,2920.4
